index,singlish,english
63,"This dish very aromatic, you will love.","This dish is very aromatic, you will love it."
64,I think the sauce need more chili.,I think the sauce needs more chili.
65,"The noodles very chewy, very nice.","The noodles are very chewy, very nice."
66,Can you help me rinse the beans?,Can you help me rinse the beans?
67,"The soup very rich, very nice.","The soup is very rich, very nice."
68,I need to buy more herbs for the soup.,I need to buy more herbs for the soup.
69,"The chicken must be juicy, then nice.","The chicken must be juicy, then it will taste good."
70,Can you help me dice the tomatoes?,Can you help me dice the tomatoes?
71,"This dish very comforting, good for soul.","This dish is very comforting, good for the soul."
72,I think the meat need more spices.,I think the meat needs more spices.
73,"The rice very fragrant, very nice.","The rice is very fragrant, very nice."
74,Can you help me shred the cabbage?,Can you help me shred the cabbage?
75,"The soup very light, very nice.","The soup is very light, very nice."
76,I need to buy more fish for the grill.,I need to buy more fish for the grill.
77,"The prawns must be tender, then nice.","The prawns must be tender, then they will taste good."
78,Can you help me blend the ingredients?,Can you help me blend the ingredients?
79,"This dish very hearty, you will enjoy.","This dish is very hearty, you will enjoy it."
80,I think the sauce need more ginger.,I think the sauce needs more ginger.
81,"The noodles very smooth, very nice.","The noodles are very smooth, very nice."
82,Can you help me steam the fish?,Can you help me steam the fish?
83,"The soup very creamy, very nice.","The soup is very creamy, very nice."
84,I need to buy more tofu for the stir-fry.,I need to buy more tofu for the stir-fry.
85,"The chicken must be golden brown, then nice.","The chicken must be golden brown, then it will taste good."
86,Can you help me fry the onions?,Can you help me fry the onions?
87,"This dish very light, good for diet.","This dish is very light, good for diet."
88,I think the meat need more garlic.,I think the meat needs more garlic.
89,"The rice very sticky, very nice.","The rice is very sticky, very nice."
90,Can you help me boil the eggs?,Can you help me boil the eggs?
91,"The soup very spicy, very nice.","The soup is very spicy, very nice."
92,I need to buy more prawns for the dish.,I need to buy more prawns for the dish.
93,"The prawns must be firm, then nice.","The prawns must be firm, then they will taste good."
94,Can you help me roast the chicken?,Can you help me roast the chicken?
95,"This dish very filling, you will be full.","This dish is very filling, you will be full."
96,I think the sauce need more soy sauce.,I think the sauce needs more soy sauce.
97,"The noodles very thin, very nice.","The noodles are very thin, very nice."
98,Can you help me grill the vegetables?,Can you help me grill the vegetables?
99,"The soup very tangy, very nice.","The soup is very tangy, very nice."
100,I need to buy more beef for the stew.,I need to buy more beef for the stew.
101,"Wah, this exam damn hard leh.","Wow, this exam is really difficult."
102,I need to chiong my homework tonight.,I need to rush my homework tonight.
103,You got study for the test or not?,Did you study for the test?
104,I think I confirm fail this paper.,I think I will definitely fail this paper.
105,Can you lend me your notes ah?,Can you lend me your notes?
106,I need to mug for my exams.,I need to study hard for my exams.
107,"Don't disturb me, I need to focus.","Don't disturb me, I need to focus."
108,I kena scolded by teacher for not doing homework.,I got scolded by the teacher for not doing my homework.
109,This project very siong leh.,This project is very tough.
110,I need to go library to study.,I need to go to the library to study.
111,You got any tips for the exam?,Do you have any tips for the exam?
112,I cannot tahan this subject anymore.,I can't stand this subject anymore.
113,I need to revise my notes.,I need to revise my notes.
114,I think I need tuition for this subject.,I think I need tutoring for this subject.
115,I always study until very late.,I always study until very late.
116,I don't understand this chapter leh.,I don't understand this chapter.
117,Can you explain this to me?,Can you explain this to me?
118,I need to finish this assignment by tonight.,I need to finish this assignment by tonight.
119,I think I need a break from studying.,I think I need a break from studying.
120,I always study with my friends.,I always study with my friends.
121,I need to buy more stationery for school.,I need to buy more stationery for school.
122,I cannot remember all these facts.,I can't remember all these facts.
123,I need to practice more past year papers.,I need to practice more past year papers.
124,I always study at the coffee shop.,I always study at the coffee shop.
125,I need to improve my grades.,I need to improve my grades.
126,I think I need to ask the teacher for help.,I think I need to ask the teacher for help.
127,I always forget to do my homework.,I always forget to do my homework.
128,I need to organize my notes better.,I need to organize my notes better.
129,I need to study harder for the next test.,I need to study harder for the next test.
130,I always get distracted when I study.,I always get distracted when I study.
131,I need to find a quiet place to study.,I need to find a quiet place to study.
132,I need to finish my project by next week.,I need to finish my project by next week.
133,I need to study for my upcoming exams.,I need to study for my upcoming exams.
134,I need to focus more on my studies.,I need to focus more on my studies.
135,I need to ask my friend for help with this topic.,I need to ask my friend for help with this topic.
136,I need to finish my homework before I can relax.,I need to finish my homework before I can relax.
137,I need to study for my math test.,I need to study for my math test.
138,I need to review my notes before the exam.,I need to review my notes before the exam.
139,I need to study more for my science test.,I need to study more for my science test.
140,I need to finish my assignment by tomorrow.,I need to finish my assignment by tomorrow.
141,I need to study for my history test.,I need to study for my history test.
142,I need to study for my geography test.,I need to study for my geography test.
143,I need to study for my English test.,I need to study for my English test.
144,I need to study for my Chinese test.,I need to study for my Chinese test.
145,I need to study for my Malay test.,I need to study for my Malay test.
146,I need to study for my Tamil test.,I need to study for my Tamil test.
147,I need to study for my literature test.,I need to study for my literature test.
148,I need to study for my art test.,I need to study for my art test.
149,I need to study for my music test.,I need to study for my music test.
150,I need to study for my PE test.,I need to study for my PE test.
151,I need to study for my computer test.,I need to study for my computer test.
152,I need to study for my economics test.,I need to study for my economics test.
153,I need to study for my business test.,I need to study for my business test.
154,I need to study for my accounting test.,I need to study for my accounting test.
155,I need to study for my finance test.,I need to study for my finance test.
156,I need to study for my marketing test.,I need to study for my marketing test.
157,I need to study for my management test.,I need to study for my management test.
158,I need to study for my law test.,I need to study for my law test.
159,I need to study for my psychology test.,I need to study for my psychology test.
160,I need to study for my sociology test.,I need to study for my sociology test.
161,I need to study for my philosophy test.,I need to study for my philosophy test.
162,I need to study for my political science test.,I need to study for my political science test.
163,I need to study for my anthropology test.,I need to study for my anthropology test.
164,I need to study for my biology test.,I need to study for my biology test.
165,I need to study for my chemistry test.,I need to study for my chemistry test.
166,I need to study for my physics test.,I need to study for my physics test.
167,I need to study for my engineering test.,I need to study for my engineering test.
168,I need to study for my architecture test.,I need to study for my architecture test.
169,I need to study for my design test.,I need to study for my design test.
170,I need to study for my fashion test.,I need to study for my fashion test.
171,I need to study for my culinary test.,I need to study for my culinary test.
172,I need to study for my hospitality test.,I need to study for my hospitality test.
173,I need to study for my tourism test.,I need to study for my tourism test.
174,I need to study for my nursing test.,I need to study for my nursing test.
175,I need to study for my medicine test.,I need to study for my medicine test.
176,I need to study for my dentistry test.,I need to study for my dentistry test.
177,I need to study for my pharmacy test.,I need to study for my pharmacy test.
178,I need to study for my veterinary test.,I need to study for my veterinary test.
179,I need to study for my agriculture test.,I need to study for my agriculture test.
180,I need to study for my environmental science test.,I need to study for my environmental science test.
181,I need to study for my geology test.,I need to study for my geology test.
182,I need to study for my astronomy test.,I need to study for my astronomy test.
183,I need to study for my meteorology test.,I need to study for my meteorology test.
184,I need to study for my oceanography test.,I need to study for my oceanography test.
185,I need to study for my marine biology test.,I need to study for my marine biology test.
186,I need to study for my zoology test.,I need to study for my zoology test.
187,I need to study for my botany test.,I need to study for my botany test.
188,I need to study for my microbiology test.,I need to study for my microbiology test.
189,I need to study for my genetics test.,I need to study for my genetics test.
190,I need to study for my immunology test.,I need to study for my immunology test.
191,I need to study for my neuroscience test.,I need to study for my neuroscience test.
192,I need to study for my biochemistry test.,I need to study for my biochemistry test.
193,I need to study for my molecular biology test.,I need to study for my molecular biology test.
194,I need to study for my cell biology test.,I need to study for my cell biology test.
195,I need to study for my developmental biology test.,I need to study for my developmental biology test.
196,I need to study for my ecology test.,I need to study for my ecology test.
197,I need to study for my evolution test.,I need to study for my evolution test.
198,I need to study for my physiology test.,I need to study for my physiology test.
199,I need to study for my anatomy test.,I need to study for my anatomy test.
200,I need to study for my pathology test.,I need to study for my pathology test.
201,"Wah, last night I sleep until so shiok.","Wow, last night I slept so comfortably."
202,"Eh, you got enough sleep or not?","Hey, did you get enough sleep?"
203,"I need to go home early, want to catch some sleep.","I need to go home early, I want to get some sleep."
204,"Yesterday I sleep very late, now damn tired.","Yesterday I slept very late, now I'm really tired."
205,"I think I need a nap, feeling so sleepy.","I think I need a nap, I'm feeling so sleepy."
206,"Cannot tahan already, must sleep now.","I can't take it anymore, I must sleep now."
207,"You snore so loud last night, how to sleep?","You snored so loudly last night, how could I sleep?"
208,I sleep like a baby last night.,I slept like a baby last night.
209,"Tonight I want to sleep early, too tired already.","Tonight I want to sleep early, I'm too tired."
210,"I need to buy new pillow, this one cannot sleep well.","I need to buy a new pillow, I can't sleep well with this one."
211,"I always sleep late, bad habit lah.","I always sleep late, it's a bad habit."
212,"You sleep so much, like a pig!","You sleep so much, like a pig!"
213,"I can't sleep, too much on my mind.","I can't sleep, there's too much on my mind."
214,"I need to sleep more, always so tired.","I need to sleep more, I'm always so tired."
215,I sleep very well when it's raining.,I sleep very well when it's raining.
216,"I think I need to change my mattress, cannot sleep well.","I think I need to change my mattress, I can't sleep well."
217,"I sleep too much, now cannot wake up.","I slept too much, now I can't wake up."
218,I always sleep late on weekends.,I always sleep late on weekends.
219,"I need to sleep early tonight, got work tomorrow.","I need to sleep early tonight, I have work tomorrow."
220,I sleep better with aircon on.,I sleep better with the air conditioner on.
221,I can't sleep without my bolster.,I can't sleep without my bolster.
222,I sleep very well after exercise.,I sleep very well after exercising.
223,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
224,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
225,I can't sleep with the lights on.,I can't sleep with the lights on.
226,I sleep better with a blanket.,I sleep better with a blanket.
227,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
228,I sleep very well after a long day.,I sleep very well after a long day.
229,I can't sleep when it's too hot.,I can't sleep when it's too hot.
230,I sleep better with some music.,I sleep better with some music.
231,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
232,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
233,I can't sleep with the lights on.,I can't sleep with the lights on.
234,I sleep better with a blanket.,I sleep better with a blanket.
235,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
236,I sleep very well after a long day.,I sleep very well after a long day.
237,I can't sleep when it's too hot.,I can't sleep when it's too hot.
238,I sleep better with some music.,I sleep better with some music.
239,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
240,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
241,I can't sleep with the lights on.,I can't sleep with the lights on.
242,I sleep better with a blanket.,I sleep better with a blanket.
243,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
244,I sleep very well after a long day.,I sleep very well after a long day.
245,I can't sleep when it's too hot.,I can't sleep when it's too hot.
246,I sleep better with some music.,I sleep better with some music.
247,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
248,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
249,I can't sleep with the lights on.,I can't sleep with the lights on.
250,I sleep better with a blanket.,I sleep better with a blanket.
251,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
252,I sleep very well after a long day.,I sleep very well after a long day.
253,I can't sleep when it's too hot.,I can't sleep when it's too hot.
254,I sleep better with some music.,I sleep better with some music.
255,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
256,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
257,I can't sleep with the lights on.,I can't sleep with the lights on.
258,I sleep better with a blanket.,I sleep better with a blanket.
259,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
260,I sleep very well after a long day.,I sleep very well after a long day.
261,I can't sleep when it's too hot.,I can't sleep when it's too hot.
262,I sleep better with some music.,I sleep better with some music.
263,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
264,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
265,I can't sleep with the lights on.,I can't sleep with the lights on.
266,I sleep better with a blanket.,I sleep better with a blanket.
267,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
268,I sleep very well after a long day.,I sleep very well after a long day.
269,I can't sleep when it's too hot.,I can't sleep when it's too hot.
270,I sleep better with some music.,I sleep better with some music.
271,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
272,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
273,I can't sleep with the lights on.,I can't sleep with the lights on.
274,I sleep better with a blanket.,I sleep better with a blanket.
275,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
276,I sleep very well after a long day.,I sleep very well after a long day.
277,I can't sleep when it's too hot.,I can't sleep when it's too hot.
278,I sleep better with some music.,I sleep better with some music.
279,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
280,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
281,I can't sleep with the lights on.,I can't sleep with the lights on.
282,I sleep better with a blanket.,I sleep better with a blanket.
283,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
284,I sleep very well after a long day.,I sleep very well after a long day.
285,I can't sleep when it's too hot.,I can't sleep when it's too hot.
286,I sleep better with some music.,I sleep better with some music.
287,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
288,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
289,I can't sleep with the lights on.,I can't sleep with the lights on.
290,I sleep better with a blanket.,I sleep better with a blanket.
291,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
292,I sleep very well after a long day.,I sleep very well after a long day.
293,I can't sleep when it's too hot.,I can't sleep when it's too hot.
294,I sleep better with some music.,I sleep better with some music.
295,"I need to sleep more, always feel so tired.","I need to sleep more, I always feel so tired."
296,"I sleep very late last night, now very sleepy.","I slept very late last night, now I'm very sleepy."
297,I can't sleep with the lights on.,I can't sleep with the lights on.
298,I sleep better with a blanket.,I sleep better with a blanket.
299,"I need to sleep early, got meeting tomorrow.","I need to sleep early, I have a meeting tomorrow."
300,I sleep very well after a long day.,I sleep very well after a long day.
301,"Wah, this chicken rice damn shiok!","Wow, this chicken rice is really delicious!"
302,You want kopi or teh?,Do you want coffee or tea?
303,Let's go makan at the hawker centre.,Let's go eat at the food court.
304,This laksa very spicy leh.,This laksa is very spicy.
305,I craving for some char kway teow.,I'm craving for some fried flat noodles.
306,You try the rojak already?,Have you tried the mixed fruit and vegetable salad?
307,The satay here quite good.,The grilled meat skewers here are quite good.
308,I think I eat too much chili crab.,I think I ate too much chili crab.
309,"This prata very crispy, I like.","This flatbread is very crispy, I like it."
310,You want extra sambal with your nasi lemak?,Do you want extra chili paste with your coconut rice?
311,The bak kut teh here very nice.,The pork rib soup here is very nice.
312,I always order the same thing at this stall.,I always order the same thing at this food stall.
313,This carrot cake not bad ah.,This fried radish cake is not bad.
314,I need to tapao some food for later.,I need to take away some food for later.
315,You want to share the dessert?,Do you want to share the dessert?
316,The fish head curry here is famous.,The fish head curry here is famous.
317,I love the kaya toast from this place.,I love the coconut jam toast from this place.
318,This mee goreng very oily leh.,This fried noodles are very oily.
319,I think I need more rice for my curry.,I think I need more rice for my curry.
320,You want to try the dim sum here?,Do you want to try the dim sum here?
321,The hokkien mee here got wok hei.,The fried prawn noodles here have a smoky flavor.
322,I always eat the same thing for breakfast.,I always eat the same thing for breakfast.
323,This ice kacang very refreshing.,This shaved ice dessert is very refreshing.
324,I think I overeat already.,I think I have overeaten.
325,You want to order some satay?,Do you want to order some grilled meat skewers?
326,The roti john here very popular.,The egg and meat sandwich here is very popular.
327,I need to drink more water after this meal.,I need to drink more water after this meal.
328,This char siew rice very tasty.,This barbecued pork rice is very tasty.
329,I always come here for the wanton mee.,I always come here for the dumpling noodles.
330,You want to try the laksa?,Do you want to try the spicy noodle soup?
331,The nasi goreng here very fragrant.,The fried rice here is very fragrant.
332,I think I need to cut down on sugar.,I think I need to cut down on sugar.
333,This mee siam very sour.,This spicy noodle dish is very sour.
334,I love the pandan cake from this bakery.,I love the pandan-flavored cake from this bakery.
335,You want to share the rojak?,Do you want to share the mixed fruit and vegetable salad?
336,The chicken wings here very crispy.,The chicken wings here are very crispy.
337,I need to buy some snacks for later.,I need to buy some snacks for later.
338,This curry puff very nice.,This pastry filled with curry is very nice.
339,I think I need more sambal.,I think I need more chili paste.
340,You want to try the chicken rice?,Do you want to try the chicken rice?
341,The char kway teow here very famous.,The fried flat noodles here are very famous.
342,I always order the same drink.,I always order the same drink.
343,This ice cream very creamy.,This ice cream is very creamy.
344,I think I need to eat more vegetables.,I think I need to eat more vegetables.
345,You want to try the bak kut teh?,Do you want to try the pork rib soup?
346,The prata here very fluffy.,The flatbread here is very fluffy.
347,I need to buy some fruits for later.,I need to buy some fruits for later.
348,This nasi lemak very fragrant.,This coconut rice is very fragrant.
349,I think I need more rice.,I think I need more rice.
350,You want to try the hokkien mee?,Do you want to try the fried prawn noodles?
351,The satay here very tender.,The grilled meat skewers here are very tender.
352,I always come here for the kaya toast.,I always come here for the coconut jam toast.
353,This mee goreng very spicy.,This fried noodles are very spicy.
354,I think I need more sambal for my nasi lemak.,I think I need more chili paste for my coconut rice.
355,You want to try the dim sum?,Do you want to try the dim sum?
356,The fish head curry here very spicy.,The fish head curry here is very spicy.
357,I love the pandan cake from this shop.,I love the pandan-flavored cake from this shop.
358,This mee siam very tasty.,This spicy noodle dish is very tasty.
359,I think I need to cut down on fried food.,I think I need to cut down on fried food.
360,You want to share the ice kacang?,Do you want to share the shaved ice dessert?
361,The chicken wings here very juicy.,The chicken wings here are very juicy.
362,I need to buy some drinks for later.,I need to buy some drinks for later.
363,This curry puff very crispy.,This pastry filled with curry is very crispy.
364,I think I need more sambal for my meal.,I think I need more chili paste for my meal.
365,You want to try the char kway teow?,Do you want to try the fried flat noodles?
366,The chicken rice here very fragrant.,The chicken rice here is very fragrant.
367,I always order the same food.,I always order the same food.
368,This ice cream very sweet.,This ice cream is very sweet.
369,I think I need to eat more fruits.,I think I need to eat more fruits.
370,You want to try the prata?,Do you want to try the flatbread?
371,The bak kut teh here very flavorful.,The pork rib soup here is very flavorful.
372,I need to buy some snacks for later.,I need to buy some snacks for later.
373,This nasi lemak very tasty.,This coconut rice is very tasty.
374,I think I need more rice for my meal.,I think I need more rice for my meal.
375,You want to try the hokkien mee?,Do you want to try the fried prawn noodles?
376,The satay here very flavorful.,The grilled meat skewers here are very flavorful.
377,I always come here for the kaya toast.,I always come here for the coconut jam toast.
378,This mee goreng very tasty.,This fried noodles are very tasty.
379,I think I need more sambal for my meal.,I think I need more chili paste for my meal.
380,You want to try the dim sum?,Do you want to try the dim sum?
381,The fish head curry here very flavorful.,The fish head curry here is very flavorful.
382,I love the pandan cake from this shop.,I love the pandan-flavored cake from this shop.
383,This mee siam very flavorful.,This spicy noodle dish is very flavorful.
384,I think I need to cut down on fried food.,I think I need to cut down on fried food.
385,You want to share the ice kacang?,Do you want to share the shaved ice dessert?
386,The chicken wings here very juicy.,The chicken wings here are very juicy.
387,I need to buy some drinks for later.,I need to buy some drinks for later.
388,This curry puff very crispy.,This pastry filled with curry is very crispy.
389,I think I need more sambal for my meal.,I think I need more chili paste for my meal.
390,You want to try the char kway teow?,Do you want to try the fried flat noodles?
391,The chicken rice here very fragrant.,The chicken rice here is very fragrant.
392,I always order the same food.,I always order the same food.
393,This ice cream very sweet.,This ice cream is very sweet.
394,I think I need to eat more fruits.,I think I need to eat more fruits.
395,You want to try the prata?,Do you want to try the flatbread?
396,The bak kut teh here very flavorful.,The pork rib soup here is very flavorful.
397,I need to buy some snacks for later.,I need to buy some snacks for later.
398,This nasi lemak very tasty.,This coconut rice is very tasty.
399,I think I need more rice for my meal.,I think I need more rice for my meal.
400,You want to try the hokkien mee?,Do you want to try the fried prawn noodles?
401,"Wah, today so busy ah.","Wow, today is so busy."
402,Can help me with this report?,Can you help me with this report?
403,I need to chiong this project by tonight.,I need to rush this project by tonight.
404,"Eh, you got see my pen or not?","Hey, have you seen my pen?"
405,This meeting very long leh.,This meeting is very long.
406,Can you send me the email again?,Can you send me the email again?
407,I think we need to OT tonight.,I think we need to work overtime tonight.
408,Boss say must finish by today.,The boss said it must be finished by today.
409,You got bring your laptop?,Did you bring your laptop?
410,"I go makan first, later come back.","I'll go eat first, and come back later."
411,This printer always spoil one.,This printer always breaks down.
412,Can you help me photocopy this?,Can you help me photocopy this?
413,I need to clear my inbox.,I need to clear my inbox.
414,Later got meeting at 3pm.,There's a meeting later at 3pm.
415,Can you pass me the stapler?,Can you pass me the stapler?
416,I think we need more paper.,I think we need more paper.
417,This project very siong ah.,This project is very tough.
418,Can you check this document?,Can you check this document?
419,I need to call the client later.,I need to call the client later.
420,You got the latest figures?,Do you have the latest figures?
421,I think we need to discuss this.,I think we need to discuss this.
422,Can you update the spreadsheet?,Can you update the spreadsheet?
423,I need to go for a meeting now.,I need to go for a meeting now.
424,This software very laggy leh.,This software is very slow.
425,Can you help me with this task?,Can you help me with this task?
426,I need to submit this by EOD.,I need to submit this by the end of the day.
427,You got any idea how to do this?,Do you have any idea how to do this?
428,I think we need more resources.,I think we need more resources.
429,Can you print this for me?,Can you print this for me?
430,I need to check with the boss.,I need to check with the boss.
431,"This file very big, cannot send.",This file is too big to send.
432,Can you help me book a meeting room?,Can you help me book a meeting room?
433,I need to finish this by today.,I need to finish this by today.
434,You got the latest update?,Do you have the latest update?
435,Can you help me with the presentation?,Can you help me with the presentation?
436,I need to check the schedule.,I need to check the schedule.
437,This task very urgent ah.,This task is very urgent.
438,Can you send me the file?,Can you send me the file?
439,I need to follow up with the client.,I need to follow up with the client.
440,This project very important.,This project is very important.
441,Can you help me with the data entry?,Can you help me with the data entry?
442,I need to check the budget.,I need to check the budget.
443,This computer very slow leh.,This computer is very slow.
444,Can you help me with the analysis?,Can you help me with the analysis?
445,I need to prepare for the meeting.,I need to prepare for the meeting.
446,This document very important.,This document is very important.
447,Can you help me with the formatting?,Can you help me with the formatting?
448,I need to check the details.,I need to check the details.
449,This task very challenging.,This task is very challenging.
450,Can you help me with the calculations?,Can you help me with the calculations?
451,I need to review the report.,I need to review the report.
452,This project very complex.,This project is very complex.
453,Can you help me with the research?,Can you help me with the research?
454,I need to check the figures.,I need to check the figures.
455,This task very time-consuming.,This task is very time-consuming.
456,Can you help me with the documentation?,Can you help me with the documentation?
457,I need to finalize the details.,I need to finalize the details.
458,This project very critical.,This project is very critical.
459,Can you help me with the coordination?,Can you help me with the coordination?
460,I need to check the progress.,I need to check the progress.
461,This task very detailed.,This task is very detailed.
462,Can you help me with the planning?,Can you help me with the planning?
463,I need to review the plan.,I need to review the plan.
464,This project very urgent.,This project is very urgent.
465,Can you help me with the implementation?,Can you help me with the implementation?
466,I need to check the requirements.,I need to check the requirements.
467,This task very important.,This task is very important.
468,Can you help me with the execution?,Can you help me with the execution?
469,I need to finalize the report.,I need to finalize the report.
470,This project very detailed.,This project is very detailed.
471,Can you help me with the review?,Can you help me with the review?
472,I need to check the status.,I need to check the status.
473,This task very critical.,This task is very critical.
474,Can you help me with the follow-up?,Can you help me with the follow-up?
475,I need to review the details.,I need to review the details.
476,This project very time-sensitive.,This project is very time-sensitive.
477,Can you help me with the preparation?,Can you help me with the preparation?
478,I need to check the timeline.,I need to check the timeline.
479,This task very urgent.,This task is very urgent.
480,Can you help me with the scheduling?,Can you help me with the scheduling?
481,I need to finalize the plan.,I need to finalize the plan.
482,This project very complex.,This project is very complex.
483,Can you help me with the execution?,Can you help me with the execution?
484,I need to check the progress.,I need to check the progress.
485,This task very detailed.,This task is very detailed.
486,Can you help me with the coordination?,Can you help me with the coordination?
487,I need to review the plan.,I need to review the plan.
488,This project very urgent.,This project is very urgent.
489,Can you help me with the implementation?,Can you help me with the implementation?
490,I need to check the requirements.,I need to check the requirements.
491,This task very important.,This task is very important.
492,Can you help me with the execution?,Can you help me with the execution?
493,I need to finalize the report.,I need to finalize the report.
494,This project very detailed.,This project is very detailed.
495,Can you help me with the review?,Can you help me with the review?
496,I need to check the status.,I need to check the status.
